date,team,assists,ats margin,ats streak,biggest lead,blocks,conference,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,line,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points,points in the paint,position,rebounds,rest,season,steals,streak,team rebounds,three pointers attempted,three pointers made,total,turnovers,wins,o:team,o:assists,o:ats margin,o:ats streak,o:biggest lead,o:blocks,o:conference,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:game number,o:line,o:losses,o:margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:playoffs,o:points,o:points in the paint,o:position,o:rebounds,o:rest,o:season,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:total,o:turnovers,o:wins
20101026,Celtics,25,8,0,19,4,Eastern,34,11,69,32,16,25,16,1,0,0,8,7,6,15,0,0,8,0,88,38,0,42,0,2010,6,0,10,16,8,190,18,0,Heat,15,-8,0,2,6,Eastern,28,11,74,27,18,25,18,1,0,0,-8,-7,-6,-15,0,0,11,0,80,24,0,39,0,2010,10,0,9,20,8,190,17,0
20101026,Heat,15,-8,0,2,6,Eastern,28,11,74,27,18,25,18,1,0,0,-8,-7,-6,-15,0,0,11,0,80,24,0,39,0,2010,10,0,9,20,8,190,17,0,Celtics,25,8,0,19,4,Eastern,34,11,69,32,16,25,16,1,0,0,8,7,6,15,0,0,8,0,88,38,0,42,0,2010,6,0,10,16,8,190,18,0
20101026,Lakers,21,-5,0,8,4,Western,30,12,96,40,22,28,23,1,-7,0,2,-7,-5,-11,0,0,14,0,112,46,0,44,0,2010,11,0,8,21,9,196,12,0,Rockets,25,5,0,15,7,Western,37,17,91,38,23,28,26,1,7,0,-2,7,5,11,0,0,16,0,110,42,0,53,0,2010,6,0,11,20,8,196,20,0
20101026,Rockets,25,5,0,15,7,Western,37,17,91,38,23,28,26,1,7,0,-2,7,5,11,0,0,16,0,110,42,0,53,0,2010,6,0,11,20,8,196,20,0,Lakers,21,-5,0,8,4,Western,30,12,96,40,22,28,23,1,-7,0,2,-7,-5,-11,0,0,14,0,112,46,0,44,0,2010,11,0,8,21,9,196,12,0
20101026,Trailblazers,31,6.5,0,14,2,Western,30,13,93,43,21,15,10,1,-7.5,0,14,2,-6,4,0,0,18,0,106,42,0,48,0,2010,10,0,12,20,10,202,12,0,Suns,15,-6.5,0,6,4,Western,23,6,74,36,16,16,11,1,7.5,0,-14,-2,6,-4,0,0,7,0,92,44,0,30,0,2010,3,0,8,19,9,202,19,0
20101026,Suns,15,-6.5,0,6,4,Western,23,6,74,36,16,16,11,1,7.5,0,-14,-2,6,-4,0,0,7,0,92,44,0,30,0,2010,3,0,8,19,9,202,19,0,Trailblazers,31,6.5,0,14,2,Western,30,13,93,43,21,15,10,1,-7.5,0,14,2,-6,4,0,0,18,0,106,42,0,48,0,2010,10,0,12,20,10,202,12,0
20101027,Cavaliers,24,12,0,8,4,Eastern,29,10,81,36,20,21,17,1,4,0,8,-2,-5,-1,0,0,8,0,95,42,0,37,0,2010,5,0,9,20,6,183.5,14,0,Celtics,24,-12,1,11,1,Eastern,32,17,72,34,24,21,16,2,-4,0,-8,2,5,1,0,0,6,0,87,46,0,38,0,2010,8,1,8,12,3,183.5,19,1
20101027,Celtics,24,-12,1,11,1,Eastern,32,17,72,34,24,21,16,2,-4,0,-8,2,5,1,0,0,6,0,87,46,0,38,0,2010,8,1,8,12,3,183.5,19,1,Cavaliers,24,12,0,8,4,Eastern,29,10,81,36,20,21,17,1,4,0,8,-2,-5,-1,0,0,8,0,95,42,0,37,0,2010,5,0,9,20,6,183.5,14,0
20101027,Clippers,19,-7,0,4,8,Western,27,16,79,32,20,30,19,1,3,0,-10,-8,1,-5,0,0,14,0,88,50,0,41,0,2010,8,0,16,18,5,191.5,15,0,Trailblazers,17,7,1,12,6,Western,30,6,88,36,23,23,18,2,-3,0,10,8,-1,5,0,0,21,0,98,42,0,51,0,2010,9,1,7,20,8,191.5,12,1
20101027,Trailblazers,17,7,1,12,6,Western,30,6,88,36,23,23,18,2,-3,0,10,8,-1,5,0,0,21,0,98,42,0,51,0,2010,9,1,7,20,8,191.5,12,1,Clippers,19,-7,0,4,8,Western,27,16,79,32,20,30,19,1,3,0,-10,-8,1,-5,0,0,14,0,88,50,0,41,0,2010,8,0,16,18,5,191.5,15,0
